feature,importance,horizon_hours
trapping_condition,0.00012988760119158816,24
is_inversion_lag_24h,7.19924057565863e-05,24
fire_brightness_sum,6.819252612155077e-05,24
sunshine_duration_s,5.1234538431144374e-05,24
low_pbl_flag_lag_24h,4.713043260407603e-05,24
calm_wind_flag,4.4340743031896135e-05,24
low_pbl_flag,4.43268750238152e-05,24
is_inversion,4.2934864040458443e-05,24
trapping_condition_lag_3h,3.970853792561778e-05,24
low_pbl_flag_lag_3h,3.9376886085869646e-05,24
is_winter,3.8736633342344616e-05,24
low_pbl_flag_lag_6h,3.781844109566608e-05,24
upwind_fire_change_24h,2.7248753667062445e-05,24
region_Punjab,2.5576964256637008e-05,24
fire_frp_sum,2.4657346039469643e-05,24
uttarakhand_fire_count,2.37413969531206e-05,24
trapping_condition_lag_24h,2.3154433481754624e-05,24
precipitation_mm,2.2839868024543532e-05,24
is_stubble_season,1.7425860874588687e-05,24
is_inversion_lag_12h,1.726278447100032e-05,24
trapping_condition_lag_12h,1.6429258815072084e-05,24
fire_count,1.517886251684759e-05,24
low_pbl_flag_lag_1h,1.501347940456535e-05,24
is_inversion_lag_1h,1.4919027216028187e-05,24
low_pbl_flag_lag_12h,1.4614367003738671e-05,24
punjab_fire_change_24h,1.2583024902846142e-05,24
delhi_ncr_fire_count_last_1h,1.187833834892476e-05,24
upwind_stubble_fire_count,1.0680026272907541e-05,24
haryana_fire_count_last_1h,9.281720279345428e-06,24
trapping_condition_lag_1h,8.210230963913213e-06,24
trapping_condition_lag_6h,6.971964320414021e-06,24
fire_count_last_1h,5.986873203671196e-06,24
upwind_stubble_fire_count_last_1h,3.17040092347754e-06,24
uttar_pradesh_fire_count,2.788600333081663e-06,24
is_inversion_lag_6h,2.2571837823137897e-06,24
delhi_ncr_fire_count,1.766977279083387e-06,24
punjab_fire_count_last_1h,1.4993016252337799e-06,24
is_inversion_lag_3h,1.2869016882866308e-06,24
haryana_fire_change_24h,1.1115948793044072e-06,24
region_Uttarakhand,9.61473317789129e-07,24
region_No fire this hour,8.247263820586979e-07,24
punjab_fire_count,7.868979638340245e-07,24
haryana_fire_count,6.314384721457368e-07,24
region_Haryana,5.545628970631378e-08,24
uttar_pradesh_fire_count_last_1h,0.0,24
uttarakhand_fire_count_last_1h,0.0,24
region_Other,0.0,24
region_Delhi NCR,0.0,24
region_Rajasthan,0.0,24
region_Uttar Pradesh,0.0,24
aqi_pm25_est,0.1409176668479122,48
pm2_5_ugm3,0.13040772001366857,48
day_of_year,0.09560991898357048,48
temperature_2m_c,0.04175917851551165,48
pm25_avg_168h,0.03730477118891002,48
temperature_1000hpa_c,0.0212326661576605,48
temperature_850hpa_c,0.01896016187855515,48
day,0.018903388285121312,48
uttarakhand_fire_count_last_24h,0.018606133983831288,48
pm25_anomaly_vs_72h_avg,0.01806643143197498,48
inversion_strength_c_lag_24h,0.017938721053211135,48
wet_bulb_temperature_2m_c,0.016760117403824562,48
inversion_strength_c,0.01620162002642399,48
pm25_avg_24h,0.015752208523134786,48
pm10_ugm3,0.0156236142360442,48
upwind_stubble_fire_count_last_48h,0.01409813132288167,48
pm25_ewm_24h,0.013062562548397058,48
boundary_layer_height_m,0.011350902884579097,48
pm25_lag_72h,0.011107321466209808,48
temperature_975hpa_c,0.010442772702254728,48
pm25_lag_48h,0.010227753144396326,48
pm25_lag_24h,0.010211658353851127,48
pm25_avg_72h,0.009723950158967404,48
pressure_trend_24h,0.009247701484467777,48
boundary_layer_height_m_lag_24h,0.009240251263719856,48
total_column_integrated_water_vapour_kgm2,0.008895719488552936,48
dew_point_2m_c,0.008844524081756285,48
cloud_cover_pct,0.008302723653137226,48
pm25_avg_48h,0.007986638237278302,48
upwind_stubble_fire_count_last_72h,0.007836650495603063,48
haryana_fire_count_last_72h,0.0072369677867667945,48
month_sin,0.006600817269261006,48
punjab_fire_count_last_48h,0.00627178579735363,48
wind_speed_10m_kmh_lag_24h,0.005832977503349087,48
punjab_fire_count_last_72h,0.005668274300151633,48
pm25_ratio_vs_72h_avg,0.005108386353793735,48
fire_count_last_24h,0.004893816710609618,48
fire_x_wind,0.00486973399595953,48
haryana_fire_count_last_48h,0.0048343495101397516,48
wind_v,0.004469146204743838,48
wind_speed_10m_kmh_lag_12h,0.004443865141246809,48
shortwave_radiation_wm2,0.004285719896566727,48
boundary_layer_height_m_lag_1h,0.004257967272659538,48
day_of_week,0.004148466224467062,48
nitrogen_dioxide_ugm3,0.003958218322918646,48
ozone_ugm3,0.003940378925333933,48
pm25_lag_6h,0.0038473222873294326,48
boundary_layer_height_m_lag_12h,0.0037556134234672197,48
punjab_fire_count_last_24h,0.003664371350027592,48
pm25_x_low_pbl,0.003655511708405535,48
haryana_fire_count_last_24h,0.0036531510160949373,48
boundary_layer_height_m_lag_6h,0.003649229046513082,48
pm25_avg_12h,0.0034707595812187263,48
inversion_strength_c_lag_1h,0.0033871481243749084,48
dew_point_spread_c,0.003371622539311014,48
pm25_lag_36h,0.003332178188978583,48
inversion_strength_c_lag_12h,0.003257254105795035,48
wind_direction_cos,0.0031572748942760988,48
wind_u,0.0030065519577321224,48
inversion_strength_c_lag_6h,0.0029984088803339005,48
delhi_ncr_fire_count_last_24h,0.0028667379542310703,48
delhi_ncr_fire_count_last_12h,0.0028424599070643883,48
hour_sin,0.002792418626710806,48
pm25_lag_18h,0.002747098331048472,48
pressure_msl_hpa,0.002677291660992008,48
hour,0.0026628450046832152,48
relative_humidity_2m_pct,0.002656753169361489,48
pm25_ewm_12h,0.0026416278935091015,48
inversion_strength_c_lag_3h,0.0026210229106187204,48
sulphur_dioxide_ugm3,0.0026203988083183297,48
surface_pressure_hpa,0.0026157903700841567,48
nitrogen_monoxide_ugm3,0.002593030546857661,48
fire_count_last_12h,0.0025850679669098113,48
wind_gusts_10m_kmh,0.0025849499845754347,48
pm25_lag_12h,0.0025783428309689503,48
vapour_pressure_deficit_kpa,0.0025193174531961886,48
pm25_diff_6h,0.0024895216582365215,48
pm25_diff_24h,0.0024184771025876468,48
wind_direction_10m_deg,0.0023273623493768663,48
pm25_change_12h,0.002271034124539653,48
wind_direction_sin,0.002263193343261061,48
pm25_lag_1h,0.002235826113831399,48
pm25_change_24h,0.0022127326774293334,48
boundary_layer_height_m_lag_3h,0.0019939570252475824,48
uttarakhand_fire_count_last_12h,0.0019009677752739836,48
wind_speed_10m_kmh,0.0017461520835704706,48
punjab_fire_count_last_12h,0.0017278704549368953,48
uttar_pradesh_fire_count_last_24h,0.0017259650556566807,48
wind_speed_10m_kmh_lag_6h,0.0017150004748047187,48
pm25_diff_3h,0.0016073666277485995,48
upwind_stubble_fire_count_last_24h,0.0016055835461907214,48
month_cos,0.0015723147264763682,48
pm25_avg_6h,0.0015379514407791296,48
upwind_stubble_fire_count_last_12h,0.0013870289776382475,48
pm25_lag_2h,0.0013749241578611955,48
fire_x_inversion,0.0013644305121200536,48
pm25_lag_3h,0.0012092834243526227,48
wind_speed_10m_kmh_lag_3h,0.0011835155160649436,48
pm25_avg_3h,0.0011680542664414054,48
haryana_fire_count_last_12h,0.0010671767903654551,48
is_inversion_lag_24h,0.0009612788232358155,48
wind_speed_10m_kmh_lag_1h,0.0008678134263358794,48
pm25_change_1h,0.0008668533132703927,48
uttar_pradesh_fire_count_last_12h,0.0008553045454183556,48
trapping_condition_lag_1h,0.0006264553834894541,48
hour_cos,0.0006171566391220195,48
visibility_m,0.0005930687390236456,48
uttarakhand_fire_count_last_6h,0.0005136478105418927,48
trapping_condition,0.00046775608277434006,48
is_day,0.0004640994956391896,48
calm_wind_flag,0.0004533302560489542,48
sunshine_duration_s,0.0004261966815610981,48
haryana_fire_count_last_6h,0.0003766931457539577,48
month,0.00036209145265494417,48
is_weekend,0.0003602762396087183,48
fire_count_last_6h,0.00033639265688870497,48
uttar_pradesh_fire_count_last_6h,0.00033547098532666513,48
delhi_ncr_fire_count_last_6h,0.0003043087479222138,48
low_pbl_flag_lag_24h,0.0002480924804634758,48
pm25_x_inversion,0.00022120751254565025,48
upwind_stubble_fire_count_last_6h,0.00020534744615382668,48
punjab_fire_count_last_6h,0.00016407759341352502,48
is_inversion_lag_12h,0.00012706153503221632,48
trapping_condition_lag_12h,0.00011963548967286905,48
trapping_condition_lag_24h,8.230013118552331e-05,48
rain_mm,8.025630870842728e-05,48
low_pbl_flag_lag_3h,6.793625110087606e-05,48
low_pbl_flag_lag_6h,5.44193609410947e-05,48
precipitation_mm,4.386039942202709e-05,48
haryana_fire_change_24h,3.4170213201362536e-05,48
is_inversion,3.3159976968804113e-05,48
low_pbl_flag_lag_12h,3.137384599761952e-05,48
low_pbl_flag,2.752694070545061e-05,48
is_inversion_lag_1h,2.6463942731217862e-05,48
is_winter,2.5147874498038364e-05,48
region_Uttarakhand,2.3875702936727253e-05,48
trapping_condition_lag_3h,2.3361716429413972e-05,48
low_pbl_flag_lag_1h,2.2731052231591017e-05,48
uttarakhand_fire_count,2.135756421442545e-05,48
upwind_fire_change_24h,2.1058435152629073e-05,48
haryana_fire_count,2.0844684083190887e-05,48
is_inversion_lag_3h,1.7896553166708958e-05,48
region_Other,1.778280358334279e-05,48
fire_count_last_1h,1.5940289204499887e-05,48
region_No fire this hour,1.0968127225634545e-05,48
region_Delhi NCR,1.071798095621472e-05,48
is_inversion_lag_6h,8.236455825135638e-06,48
fire_count,8.027465437216847e-06,48
trapping_condition_lag_6h,6.350233157247784e-06,48
upwind_stubble_fire_count_last_1h,5.956853683027263e-06,48
is_stubble_season,5.396639153586526e-06,48
punjab_fire_count,4.086102063796125e-06,48
fire_frp_sum,3.7718395664235836e-06,48
punjab_fire_change_24h,2.8559829431116893e-06,48
uttar_pradesh_fire_count,2.271595878741995e-06,48
fire_brightness_sum,2.1133410154366035e-06,48
haryana_fire_count_last_1h,1.0685499461055968e-06,48
punjab_fire_count_last_1h,6.481163924558491e-07,48
upwind_stubble_fire_count,4.7030322183924777e-07,48
uttarakhand_fire_count_last_1h,2.722601859374546e-07,48
uttar_pradesh_fire_count_last_1h,1.584647905653767e-08,48
delhi_ncr_fire_count,0.0,48
delhi_ncr_fire_count_last_1h,0.0,48
region_Haryana,0.0,48
region_Punjab,0.0,48
region_Rajasthan,0.0,48
region_Uttar Pradesh,0.0,48
temperature_975hpa_c,0.21101307969369085,72
pm2_5_ugm3,0.07112718306724376,72
aqi_pm25_est,0.06404696716608141,72
fire_x_wind,0.05250077663833354,72
punjab_fire_count_last_24h,0.0385422754115293,72
day_of_year,0.03505606785668734,72
day,0.026649665675792474,72
pm10_ugm3,0.023093560144240816,72
pm25_avg_168h,0.022475952830629402,72
total_column_integrated_water_vapour_kgm2,0.021737333213983235,72
pm25_lag_48h,0.020276411898141222,72
boundary_layer_height_m_lag_24h,0.01931367223016607,72
temperature_850hpa_c,0.016839589380793156,72
temperature_1000hpa_c,0.01335963997624838,72
temperature_2m_c,0.012590694703785854,72
upwind_stubble_fire_count_last_72h,0.012236846871531464,72
pressure_trend_24h,0.011452123207229613,72
boundary_layer_height_m,0.01101601575214497,72
punjab_fire_count_last_72h,0.010503187564775942,72
pm25_lag_72h,0.00980183202482661,72
cloud_cover_pct,0.009752423391014016,72
pm25_avg_72h,0.008475834232486198,72
pm25_lag_24h,0.008311716096060356,72
day_of_week,0.00795274563051178,72
shortwave_radiation_wm2,0.007690695787382364,72
nitrogen_monoxide_ugm3,0.007280057800273282,72
pm25_ewm_24h,0.007244361917509129,72
haryana_fire_count_last_72h,0.0071099843175129514,72
pm25_lag_1h,0.007092377983298259,72
boundary_layer_height_m_lag_12h,0.007071096941240641,72
wind_u,0.0065352725336415484,72
punjab_fire_count_last_48h,0.006107149289038253,72
upwind_stubble_fire_count_last_48h,0.006005067792388461,72
pm25_avg_48h,0.005525691310857173,72
inversion_strength_c,0.005265842808395118,72
hour,0.00480631227059203,72
wet_bulb_temperature_2m_c,0.004752267525411724,72
month_sin,0.00473454858589831,72
boundary_layer_height_m_lag_1h,0.004671865361573211,72
pm25_avg_12h,0.0046518589937231255,72
sulphur_dioxide_ugm3,0.004627000643336068,72
ozone_ugm3,0.004498252580789162,72
month_cos,0.0044591967733652585,72
nitrogen_dioxide_ugm3,0.004439615094545001,72
pm25_x_low_pbl,0.004371087644368361,72
dew_point_2m_c,0.00407919884355996,72
fire_count_last_24h,0.00405342242160615,72
pm25_ratio_vs_72h_avg,0.0039963720591805404,72
hour_sin,0.003802343594519767,72
boundary_layer_height_m_lag_6h,0.003790738639866202,72
uttar_pradesh_fire_count_last_24h,0.003768801970199355,72
inversion_strength_c_lag_3h,0.003642241161379791,72
pm25_avg_24h,0.0035374328718349884,72
inversion_strength_c_lag_6h,0.003481504296494664,72
pressure_msl_hpa,0.003381648024467902,72
wind_gusts_10m_kmh,0.0033338132908417857,72
uttarakhand_fire_count_last_24h,0.003271108377888543,72
pm25_anomaly_vs_72h_avg,0.00321305822801642,72
pm25_ewm_12h,0.0029782475347673977,72
boundary_layer_height_m_lag_3h,0.0028697876264264423,72
pm25_lag_18h,0.002772740705808318,72
pm25_change_24h,0.0027655099998474147,72
inversion_strength_c_lag_24h,0.0027514642178118344,72
upwind_stubble_fire_count_last_24h,0.002646948540014559,72
vapour_pressure_deficit_kpa,0.0025488299128467525,72
pm25_lag_36h,0.0025444187888686177,72
wind_speed_10m_kmh,0.0023604768653299403,72
pm25_diff_3h,0.0023443620900738156,72
wind_speed_10m_kmh_lag_12h,0.00231129316195871,72
inversion_strength_c_lag_1h,0.002310608701769608,72
pm25_lag_6h,0.002287141435643529,72
pm25_change_12h,0.0022785133914548857,72
wind_speed_10m_kmh_lag_24h,0.0022653622063655027,72
inversion_strength_c_lag_12h,0.0022427572454083804,72
haryana_fire_count_last_48h,0.002228550354736881,72
pm25_lag_12h,0.0021411988512747685,72
wind_v,0.0021379618960537085,72
surface_pressure_hpa,0.002021099847473834,72
wind_direction_cos,0.0020029578763010396,72
punjab_fire_count_last_12h,0.0019772335127944954,72
dew_point_spread_c,0.0019658710918076276,72
uttarakhand_fire_count_last_12h,0.0019537094341774016,72
pm25_diff_6h,0.0019230150092087834,72
pm25_diff_24h,0.0019169630191147155,72
haryana_fire_count_last_24h,0.0018352461033391105,72
delhi_ncr_fire_count_last_24h,0.001802154190938409,72
relative_humidity_2m_pct,0.0017879140156523562,72
pm25_avg_3h,0.0017023957892369774,72
wind_direction_10m_deg,0.0016807060287402115,72
wind_speed_10m_kmh_lag_6h,0.0016708904070770333,72
low_pbl_flag_lag_24h,0.001608947360194351,72
pm25_avg_6h,0.0015587205795969282,72
wind_speed_10m_kmh_lag_1h,0.0015535538299600838,72
wind_speed_10m_kmh_lag_3h,0.001550911371671549,72
wind_direction_sin,0.0014667385043746328,72
fire_count_last_12h,0.0012506478191699768,72
upwind_stubble_fire_count_last_12h,0.0011168256649792437,72
uttar_pradesh_fire_count_last_12h,0.0010224293802986657,72
pm25_lag_2h,0.001001926541610198,72
pm25_change_1h,0.0009721368166658778,72
low_pbl_flag_lag_1h,0.0009039616547693604,72
pm25_lag_3h,0.0008704662144936992,72
delhi_ncr_fire_count_last_12h,0.0008653066068094214,72
visibility_m,0.0007920840922344811,72
sunshine_duration_s,0.0007035400160462391,72
is_day,0.0006738485812641978,72
month,0.0006645678280697079,72
punjab_fire_count_last_6h,0.0005602022835810293,72
uttar_pradesh_fire_count_last_6h,0.0005528494133906104,72
trapping_condition_lag_12h,0.0005502873607625145,72
