horizon_hours,model,MAE,RMSE,R2
42,RandomForest,38.945,56.993,-0.0023
42,HistGradientBoosting,39.969,58.168,-0.0441
43,Persistence,51.913,68.995,-0.468
43,RandomForest,39.634,58.272,-0.0471
43,HistGradientBoosting,39.938,58.052,-0.0392
44,Persistence,49.643,66.443,-0.3602
44,RandomForest,39.623,57.985,-0.036
44,HistGradientBoosting,39.462,57.562,-0.0209
45,Persistence,47.132,63.648,-0.2467
45,RandomForest,38.338,55.985,0.0354
45,HistGradientBoosting,38.968,56.549,0.0159
46,Persistence,44.456,60.967,-0.1423
46,RandomForest,37.661,54.844,0.0757
46,HistGradientBoosting,39.694,58.708,-0.0592
47,Persistence,42.23,58.965,-0.0668
47,RandomForest,37.908,55.838,0.0433
47,HistGradientBoosting,38.932,56.686,0.0141
48,Persistence,41.553,58.334,-0.0422
48,RandomForest,38.178,57.011,0.0046
48,HistGradientBoosting,38.635,57.541,-0.014
49,Persistence,42.74,59.668,-0.0872
49,RandomForest,39.659,59.891,-0.0954
49,HistGradientBoosting,39.495,58.999,-0.063
50,Persistence,45.106,62.321,-0.183
50,RandomForest,41.615,62.101,-0.1747
50,HistGradientBoosting,40.462,60.406,-0.1115
51,Persistence,47.996,65.599,-0.3074
51,RandomForest,43.499,64.966,-0.2823
51,HistGradientBoosting,42.814,63.774,-0.2357
52,Persistence,50.848,68.934,-0.4415
52,RandomForest,44.398,65.645,-0.3072
52,HistGradientBoosting,43.777,64.152,-0.2484
53,Persistence,53.514,71.971,-0.5703
53,RandomForest,42.647,63.044,-0.2049
53,HistGradientBoosting,42.844,63.356,-0.2169
54,Persistence,55.625,74.469,-0.6815
54,RandomForest,41.835,62.406,-0.1808
54,HistGradientBoosting,42.688,63.842,-0.2358
55,Persistence,57.13,76.284,-0.7655
55,RandomForest,41.723,62.113,-0.1705
55,HistGradientBoosting,43.632,64.406,-0.2585
56,Persistence,57.994,77.402,-0.819
56,RandomForest,44.469,66.138,-0.3281
56,HistGradientBoosting,44.509,65.651,-0.3086
57,Persistence,58.447,77.976,-0.8471
57,RandomForest,44.607,66.375,-0.3384
57,HistGradientBoosting,45.346,66.472,-0.3423
58,Persistence,58.679,78.258,-0.8612
58,RandomForest,42.253,62.594,-0.1907
58,HistGradientBoosting,44.525,65.27,-0.2947
59,Persistence,59.113,78.536,-0.875
59,RandomForest,41.565,62.031,-0.1697
59,HistGradientBoosting,43.452,64.027,-0.2462
60,Persistence,59.654,78.901,-0.893
60,RandomForest,42.016,62.134,-0.174
60,HistGradientBoosting,43.54,64.132,-0.2507
61,Persistence,60.303,79.363,-0.9155
61,RandomForest,42.574,62.694,-0.1953
61,HistGradientBoosting,44.289,65.015,-0.2855
62,Persistence,60.913,79.906,-0.9412
62,RandomForest,44.539,64.483,-0.2642
62,HistGradientBoosting,46.402,67.597,-0.3892
63,Persistence,61.323,80.438,-0.9663
63,RandomForest,42.066,61.148,-0.1363
63,HistGradientBoosting,44.588,64.823,-0.277
64,Persistence,61.429,80.673,-0.9771
64,RandomForest,40.226,58.155,-0.0274
64,HistGradientBoosting,41.32,60.627,-0.1166
65,Persistence,61.004,80.346,-0.9604
65,RandomForest,39.172,56.578,0.0279
